Date,Open,High,Low,Close,Volume
2018-04-29T13:12:00.000Z,9272.7,9285.7,9272.6,9279.3,31.70801325
2018-04-29T13:13:00.000Z,9279.3,9279.3,9272.6,9272.6,6.46709327
2018-04-29T13:14:00.000Z,9272.7,9273.6,9272.7,9273.6,1.143704
2018-04-29T13:15:00.000Z,9273.6,9273.6,9269.8,9269.8,0.69932202
2018-04-29T13:16:00.000Z,9269.9,9269.9,9264.9,9264.9,1.37746215
2018-04-29T13:17:00.000Z,9264.8,9265.2,9261,9261.2,17.32634994
2018-04-29T13:18:00.000Z,9263.6,9263.6,9258.2,9261.8,2.99947552
2018-04-29T13:19:00.000Z,9261.9,9261.9,9257.5,9257.6,2.56074084
2018-04-29T13:20:00.000Z,9257.6,9273.27782,9257.2,9273.27782,16.02091289
2018-04-29T13:21:00.000Z,9273.2,9279.7,9273.2,9279.7,0.93677631
2018-04-29T13:22:00.000Z,9279.8,9282.1,9272.7,9272.7,6.08800445
2018-04-29T13:23:00.000Z,9273.8,9277.2,9272.8,9277.2,1.22200638
2018-04-29T13:24:00.000Z,9277.2,9277.2,9277.1,9277.2,1.92564242
2018-04-29T13:25:00.000Z,9277.1,9277.2,9277.1,9277.2,4.25369906
2018-04-29T13:26:00.000Z,9277.159883,9278.1,9277.1,9277.2,6.83784856
2018-04-29T13:27:00.000Z,9277.1,9287.8,9277.1,9280,13.19647721
2018-04-29T13:28:00.000Z,9284.4,9284.6,9277.1,9277.2,6.02053412
2018-04-29T13:29:00.000Z,9277.3,9277.3,9259.9,9261.1,12.61719294
2018-04-29T13:30:00.000Z,9261.1,9261.1,9261,9261.1,2.39124738
2018-04-29T13:31:00.000Z,9261.1,9261.1,9261,9261,4.68012682
2018-04-29T13:32:00.000Z,9261.1,9261.1,9251.4,9255.7,10.40540162
2018-04-29T13:33:00.000Z,9255.8,9255.8,9255.7,9255.8,2.61501514
2018-04-29T13:34:00.000Z,9255.7,9263,9255.7,9262.9,14.81763731
2018-04-29T13:35:00.000Z,9262.96609,9270,9262.96609,9270,1.67543323
2018-04-29T13:36:00.000Z,9270,9270,9270,9270,5.32457912
2018-04-29T13:37:00.000Z,9270,9270,9269.9,9270,3.0660497
2018-04-29T13:38:00.000Z,9270,9277.3,9270,9277.3,12.13289654
2018-04-29T13:39:00.000Z,9277.2,9291.1,9277.2,9291.1,5.99918266
2018-04-29T13:40:00.000Z,9291.1,9298.4,9291,9291.8,16.85330953
2018-04-29T13:41:00.000Z,9291.7,9291.8,9288.6,9288.7,12.03751496
2018-04-29T13:42:00.000Z,9288.7,9288.7,9279.7,9279.7,13.78788167
2018-04-29T13:43:00.000Z,9279.6,9285.7,9279.6,9285.6,5.50606295
2018-04-29T13:44:00.000Z,9285.7,9285.7,9285.6,9285.7,2.32932499
2018-04-29T13:45:00.000Z,9290.4,9299.9,9290.3,9298.4,7.55331818
2018-04-29T13:46:00.000Z,9299.2,9299.9,9298.4,9299.6,8.20438287
2018-04-29T13:47:00.000Z,9299.5,9299.6,9287.8,9291.6,22.13542617
2018-04-29T13:48:00.000Z,9291.7,9296.9,9291.7,9296.4,14.32419146
2018-04-29T13:49:00.000Z,9299.8,9299.9,9299.8,9299.8,3.30291047
2018-04-29T13:50:00.000Z,9299.8,9320,9299.8,9320,64.35325914
2018-04-29T13:51:00.000Z,9312.4,9319.5,9312.3,9312.4,23.23231684
2018-04-29T13:52:00.000Z,9312.4,9313.8,9312.3,9313.7,5.67125655
2018-04-29T13:53:00.000Z,9313.8,9313.8,9303.6,9303.6,16.78483355
2018-04-29T13:54:00.000Z,9303.6,9303.7,9302.2,9303.6,12.22303222
2018-04-29T13:55:00.000Z,9303.5,9303.6,9303.5,9303.5,4.36932545
2018-04-29T13:56:00.000Z,9303.5,9303.6,9302.1,9302.1,10.37033239
2018-04-29T13:57:00.000Z,9301.1,9301.1,9292,9295.1,39.63903053
2018-04-29T13:58:00.000Z,9298.2,9300,9296.3,9299.967002,8.55642118
2018-04-29T13:59:00.000Z,9299.967002,9303.5,9299.9,9303.5,6.44224986
2018-04-29T14:00:00.000Z,9303.4,9310,9303.4,9310,6.42805819
2018-04-29T14:01:00.000Z,9310,9321.1,9309.9,9321.1,5.89141293
2018-04-29T14:02:00.000Z,9321.1,9325.3,9321,9325.3,22.82242614
2018-04-29T14:03:00.000Z,9325.3,9335,9325.2,9330,22.89045324
2018-04-29T14:04:00.000Z,9330,9330,9300,9300,51.52029662
2018-04-29T14:05:00.000Z,9299.967002,9310,9298.7,9310,38.08353468
2018-04-29T14:06:00.000Z,9310,9310,9309.8,9309.8,16.85871436
2018-04-29T14:07:00.000Z,9309.9,9309.9,9306.8,9306.8,24.93563983
2018-04-29T14:08:00.000Z,9306.8,9306.881927,9306.4,9306.881927,6.04904092
2018-04-29T14:09:00.000Z,9306.881927,9310,9306.881927,9310,8.08987248
2018-04-29T14:10:00.000Z,9310,9310,9309.9,9310,7.0690984
2018-04-29T14:11:00.000Z,9310,9310.1,9309.9,9310.1,10.26616242
2018-04-29T14:12:00.000Z,9310,9310.1,9308.9,9310.1,16.17231309
2018-04-29T14:13:00.000Z,9309,9309.1,9308.9,9309,4.32831272
2018-04-29T14:14:00.000Z,9309.065587,9310.5,9309,9309.914789,4.64356859
2018-04-29T14:15:00.000Z,9309.914789,9312.107351,9309.914789,9312.107351,3.53758615
2018-04-29T14:16:00.000Z,9312.1,9320,9312.1,9319.9,7.99605548
2018-04-29T14:17:00.000Z,9319.9,9320,9319.9,9319.9,10.6557427
2018-04-29T14:18:00.000Z,9319.9,9324.1,9319.9,9324,6.06652557
2018-04-29T14:19:00.000Z,9324.1,9324.1,9324,9324,2.917573
2018-04-29T14:20:00.000Z,9324.1,9324.1,9324,9324,5.6365888
2018-04-29T14:21:00.000Z,9324,9324.1,9324,9324.1,3.3110847
2018-04-29T14:22:00.000Z,9324.1,9324.1,9323.987267,9324,1.71537128
2018-04-29T14:23:00.000Z,9323.987267,9324,9323.987267,9324,2.02039207
2018-04-29T14:24:00.000Z,9324,9324,9323.987267,9323.987267,1.694201
2018-04-29T14:25:00.000Z,9324,9324,9323.9,9324,4.9912183
2018-04-29T14:26:00.000Z,9324,9324,9323.9,9324,6.98895393
2018-04-29T14:27:00.000Z,9323.987267,9323.987267,9323.9,9323.987267,0.37152281
2018-04-29T14:28:00.000Z,9323.9,9323.987267,9323.9,9323.987267,1.50154472
2018-04-29T14:29:00.000Z,9324,9324,9323.987267,9324,0.74356893
2018-04-29T14:30:00.000Z,9324,9324,9323.9,9323.9,7.16423987
2018-04-29T14:31:00.000Z,9324,9324,9323.987267,9324,1.46502279
2018-04-29T14:32:00.000Z,9324,9324,9323.1,9323.2,11.5845575
2018-04-29T14:33:00.000Z,9323.2,9323.2,9323.1,9323.2,0.94301153
2018-04-29T14:34:00.000Z,9323.2,9323.2,9323.1,9323.2,3.94124803
2018-04-29T14:35:00.000Z,9323.2,9323.2,9323.1,9323.2,2.83891877
2018-04-29T14:36:00.000Z,9323.2,9339,9323.1,9339,32.23934791
2018-04-29T14:37:00.000Z,9339,9344.4,9339,9344.4,28.47314567
2018-04-29T14:38:00.000Z,9344.4,9344.4,9344.3,9344.4,3.29396921
2018-04-29T14:39:00.000Z,9344.4,9344.4,9344.3,9344.4,10.01767502
2018-04-29T14:40:00.000Z,9344.6,9355.6,9344.6,9355.5,39.9629106
2018-04-29T14:41:00.000Z,9355.4,9362.4,9355.4,9362.4,20.45826707
2018-04-29T14:42:00.000Z,9362.3,9362.4,9362.1,9362.1,18.43960153
2018-04-29T14:43:00.000Z,9362.1,9362.1,9343.5,9344,41.06685989
2018-04-29T14:44:00.000Z,9343.9,9349.5,9343.5,9343.5,33.61594013
2018-04-29T14:45:00.000Z,9343.6,9343.6,9343.5,9343.5,8.52527313
2018-04-29T14:46:00.000Z,9343.5,9343.6,9338.5,9338.545003,6.93260244
2018-04-29T14:47:00.000Z,9338.5,9338.5,9314.5,9314.5,8.68857506
2018-04-29T14:48:00.000Z,9314.6,9314.6,9308.9,9308.9,9.19725526
2018-04-29T14:49:00.000Z,9308.9,9309,9308.9,9309,5.03496045
2018-04-29T14:50:00.000Z,9308.9,9308.9,9297.9,9297.9,20.05904357
2018-04-29T14:51:00.000Z,9297.9,9297.9,9285.6,9286,24.63815786
2018-04-29T14:52:00.000Z,9285.9,9286,9285.4,9285.5,4.42352516
2018-04-29T14:53:00.000Z,9285.4,9290,9279,9284.2,14.94857799
2018-04-29T14:54:00.000Z,9281.1,9283,9281.1,9283,5.4326103
2018-04-29T14:55:00.000Z,9283,9283,9282.9,9282.9,3.08802625
2018-04-29T14:56:00.000Z,9282.8,9282.9,9274.4,9274.4,10.78209995
2018-04-29T14:57:00.000Z,9274.5,9274.5,9264.3,9268.5,22.91920124
